   0.0000000e+00   0.0000000e+00             NaN             NaN             NaN
   2.5000000e+00   1.0000000e+00   1.2745328e+02   1.2745328e+02   1.2745328e+02
   5.0000000e+00   0.0000000e+00             NaN             NaN             NaN
   7.5000000e+00   0.0000000e+00             NaN             NaN             NaN
   1.0000000e+01   4.0000000e+00   4.7002131e+01   1.3610335e+01   1.1165671e+02
   1.2500000e+01   2.0000000e+00   6.8718097e+01   6.8718097e+01   1.0053139e+02
   1.5000000e+01   7.0000000e+00   1.1672815e+02   5.1037147e+01   1.2119413e+02
   1.7500000e+01   9.0000000e+00   5.3956724e+01   3.1498123e+01   1.1380761e+02
   2.0000000e+01   1.1000000e+01   8.2371357e+01   1.7558262e+01   1.0316782e+02
   2.2500000e+01   4.0000000e+00   8.5329268e+01   4.7753827e+01   8.9869237e+01
   2.5000000e+01   1.1000000e+01   9.3844279e+01   7.9518493e+01   1.1936062e+02
   2.7500000e+01   6.0000000e+00   4.3503969e+01   3.7930420e+01   9.1586566e+01
   3.0000000e+01   4.0000000e+00   5.9947149e+01   3.9238567e+01   6.2718245e+01
   3.2500000e+01   1.2000000e+01   2.1650951e+01   1.8550036e+01   4.4303751e+01
   3.5000000e+01   5.0000000e+00   1.8532283e+01   8.2637934e+00   5.3656720e+01
   3.7500000e+01   9.0000000e+00   1.8555534e+01   1.4418244e+01   3.9029955e+01
   4.0000000e+01   2.7000000e+01   8.0107287e+01   7.6941937e+01   8.4221242e+01
   4.2500000e+01   8.0000000e+00   6.0685345e+01   3.5112031e+01   6.9354313e+01
   4.5000000e+01   6.0000000e+00   2.7730631e+01   2.6703401e+01   7.0112917e+01
   4.7500000e+01   5.0000000e+00   7.3777973e+01   6.2694688e+01   1.0129171e+02
   5.0000000e+01   5.0000000e+00   5.6434718e+01   4.5243241e+01   8.1244092e+01
   5.2500000e+01   7.0000000e+00   4.9467754e+01   4.0980408e+01   5.7416452e+01
   5.5000000e+01   2.0000000e+00   2.5600898e+01   2.5600898e+01   7.2398570e+01
   5.7500000e+01   6.0000000e+00   5.1761647e+01   4.7180511e+01   7.2893997e+01
   6.0000000e+01   6.0000000e+00   4.9696556e+01   3.4933374e+01   6.4899475e+01
   6.2500000e+01   1.6000000e+01   6.8313794e+01   4.9299606e+01   6.9400365e+01
   6.5000000e+01   1.1000000e+01   6.0368177e+01   3.9888168e+01   6.3554687e+01
   6.7500000e+01   1.7000000e+01   6.5852176e+01   6.1639308e+01   6.7916071e+01
   7.0000000e+01   2.6000000e+01   6.8644129e+01   6.6550208e+01   7.0730857e+01
   7.2500000e+01   2.2000000e+01   6.6559570e+01   6.0725756e+01   7.7116457e+01
   7.5000000e+01   6.0000000e+00   5.2847668e+01   5.2159003e+01   5.8931563e+01
